0	409 587
409	0 587 3319
587	0 409
3	294 650 1292 1341 2089 2428 2560 2581 2686 3055 3079 4144 4226 4261 4513 4592
294	3 17 1292 1393 1908 2070 2089 2428 2686 2809 3055 4144 4226 4592
650	3 1292 2686 3055 4144 4592
1292	3 17 294 650 1341 2089 2428 2581 2686 2809 3055 3079 4144 4261 4513
1341	3 1292
2089	3 17 294 1292 1393 1908 2070 2428 2560 2581 2607 2686 2809 3055 3079 4144 4226 4513 4592
2428	3 294 1292 2089 2686 2809 3055 3079
2560	3 17 2089 2581 2686 3055 4144 4226 4261
2581	3 1292 2089 2560 3055 4226 4261 4513
2686	3 17 294 650 1292 1908 2089 2428 2560 2809 3055 4144 4592
3055	3 17 294 650 1292 2089 2428 2560 2581 2607 2686 2809 3079 4144 4226 4261 4513 4592
3079	3 1292 2089 2428 3055 4592
4144	3 17 294 650 1292 1393 1908 2070 2089 2560 2686 2809 3055 4226 4261 4513 4592
4226	3 17 294 1393 2070 2089 2560 2581 3055 4144 4513
4261	3 17 1292 2560 2581 3055 4144 4513
4513	3 17 1292 1393 2070 2089 2581 3055 4144 4226 4261
4592	3 294 650 1908 2089 2607 2686 3055 3079 4144
5	4097
4097	5 589 1286 1854 2086 3854 4132 4645
6	16 133 1295 1549 1925 2564 2837 3157 3997 4130 4813
16	6 133 525 718 1201 1295 1427 1549 1925 2564 2837 3100 3101 3157 3339 3724 3997 4130 4233 4753 4813
133	6 16 525 718 1201 1295 1549 1925 1929 2564 2837 3100 3157 3724 3997 4233 4753 4813
1295	6 16 133 1427 1549 1925 2837 3101 4130 4813
1549	6 16 133 525 1295 1427 1925 2564 2837 4753 4813
1925	6 16 133 718 1295 1549 2564 2837 3101 3157 3339 3724 3997 4130 4813
2564	6 16 133 525 718 1201 1427 1549 1925 3101 3724 4130 4753 4813
2837	6 16 133 1295 1549 1925 4813
3157	6 16 133 1925 4130
3997	6 16 133 1925 3100 3724 4130 4233
4130	6 16 525 718 1295 1925 2564 3101 3157 3997 4813
4813	6 16 133 525 1295 1427 1549 1925 2564 2837 3101 4130
8	1749 1968
1749	8 948 1179 1968 2109 2269 3078
