u	v	similarity
0	989	0.5515528318
0	1470	0.3880570001
0	1857	0.3614784456
0	2361	0.4618802154
0	2813	0.3098386677
0	3154	0.3880570001
0	3821	0.2357022604
0	4089	0.3207134903
0	4110	0.2910427500
0	4311	0.3674234614
0	4629	0.1000000000
0	5398	0.4714045208
0	5610	0.3880570001
0	6109	0.3829708431
0	6228	0.3614784456
0	6626	0.3015113446
0	7629	0.3299831646
0	7684	0.0917662935
0	8190	0.3395498751
0	8961	0.4129483210
0	9206	0.5715476066
0	9497	0.4706787243
0	9601	0.4690415760
0	9645	0.1264911064
1	11	0.5185629788
1	493	0.1380131119
1	2215	0.5000000000
1	3131	0.5188745217
1	3577	0.5039526307
1	4285	0.4114755999
1	6154	0.4409585518
1	7432	0.3340765524
1	7986	0.4140393356
1	9244	0.4285714286
1	9542	0.1482498633
1	9724	0.2964997267
1	9920	0.5039526307
2	936	0.4280863447
2	1371	0.0693375245
2	1941	0.3544587785
2	1994	0.3631365196
2	2117	0.2378257471
2	2604	0.0899842541
2	2611	0.3344968040
2	2702	0.3922322703
2	2914	0.3631365196
2	3612	0.3522349768
2	5143	0.3544587785
2	5210	0.1132277034
2	6010	0.3291402943
2	6326	0.1182624792
2	7712	0.3344968040
2	8249	0.3329560459
2	8434	0.3410955201
2	8614	0.2311250818
2	8623	0.3922322703
2	8760	0.3423683940
2	9526	0.3648781916
2	9794	0.3144854510
2	9911	0.3672585190
2	9942	0.2567762955
2	9949	0.2365249584
3	1034	0.2504897164
3	1813	0.2666666667
3	2325	0.1380131119
3	2342	0.1936491673
3	2386	0.3544587785
3	2417	0.1290994449
3	2998	0.1252448582
3	3404	0.2151657415
3	4346	0.1936491673
3	6603	0.2927700219
3	6973	0.2666666667
3	7385	0.2214037214
3	8224	0.1333333333
3	9105	0.1936491673
4	5	0.0629940788
4	200	0.4522670169
4	821	0.2425356250
4	2894	0.3872983346
4	3208	0.4724555913
4	3743	0.4000000000
4	4159	0.4588314677
4	4742	0.5547001962
4	4898	0.1212678125
4	6155	0.1178511302
4	7177	0.4592793268
4	7332	0.4412613041
4	7721	0.4850712501
4	8021	0.5161854012
4	9560	0.3608439182
5	39	0.4203255500
5	635	0.3760507165
5	691	0.4046513191
5	1214	0.3055661657
5	1227	0.3179403222
5	1463	0.2182178902
5	1833	0.1259881577
5	1865	0.3038948706
5	2477	0.0629940788
5	2717	0.3578300267
5	2722	0.3098898934
5	2758	0.3367175149
5	2783	0.2444529325
5	2936	0.2099802628
5	2988	0.3494282789
5	3328	0.3578300267
5	3503	0.3574073095
5	3603	0.0650600049
5	3699	0.2445997952
5	3780	0.3098898934
5	3828	0.4841820261
5	3934	0.2545875386
5	3975	0.2909571870
5	4004	0.3030457634
5	4699	0.4525628222
5	4765	0.3223291856
5	4773	0.3361227822
5	4886	0.3779644730
5	5368	0.0650600049
5	5806	0.4046218245
5	5832	0.3860440161
5	5978	0.6080194569
5	6011	0.2204792759
5	6028	0.3024215696
5	6054	0.4677071733
5	6100	0.2693740119
5	6310	0.3055661657
5	6515	0.2909571870
5	6608	0.2672612419
5	7167	0.2969569355
5	7364	0.3055661657
5	7582	0.3144854510
5	7594	0.4496355156
5	7942	0.3494282789
5	8218	0.4780914437
5	8344	0.3809523810
5	8574	0.1992047682
5	8589	0.0629940788
5	8650	0.2909571870
5	8902	0.4203255500
5	8922	0.3464674336
5	9001	0.3860440161
5	9101	0.3361227822
5	9106	0.1747141395
5	9212	0.3779644730
5	9542	0.2445997952
5	9548	0.0698856558
5	9650	0.0727392967
5	9794	0.0336717515
5	9873	0.2890366565
5	9917	0.3860440161
6	800	0.6288281455
6	1282	0.5416666667
6	1313	0.3779644730
6	1320	0.2858309752
6	1341	0.4714045208
6	1454	0.4472135955
6	1573	0.3785166493
6	1649	0.4974683382
6	2612	0.4124789557
6	4836	0.1571348403
6	5192	0.4762896722
6	6077	0.4974683382
6	6137	0.4622501635
6	6669	0.4814569205
6	6928	0.4762896722
6	9520	0.4264014327
6	9777	0.3429971703
7	174	0.6054055146
7	272	0.4705882353
7	631	0.4900980294
7	1194	0.4708709558
7	1287	0.4573295604
7	2739	0.4900980294
7	3113	0.6063390626
7	4117	0.4900980294
7	4344	0.5636018620
7	4699	0.0871213684
7	6428	0.4601789933
7	6799	0.5601120336
7	7842	0.1084652289
7	7908	0.4200840252
7	8960	0.5170876900
7	9386	0.6262242911
8	157	0.3241018618
8	182	0.4900980294
8	250	0.5313689313
8	290	0.4244373438
8	641	0.4234048992
8	1094	0.3363363970
8	2005	0.0900754698
8	2077	0.1296407447
8	2439	0.4117647059
8	4618	0.4503773491
8	5374	0.3233808334
8	5891	0.4136701520
8	6528	0.2100420126
8	7584	0.1252448582
8	8598	0.1400280084
8	9846	0.2925089697
9	843	0.3267320196
9	1403	0.3889222341
9	2271	0.2941176471
9	2644	0.1551263070
9	2974	0.3834824944
9	3316	0.2646280620
9	4877	0.3131121455
9	4969	0.4601789933
9	5780	0.1462544848
9	6370	0.2068350760
9	6915	0.2286647802
9	7272	0.3799802978
9	8095	0.1626978434
9	8826	0.0631508978
9	8956	0.1993630557
9	9525	0.2117024496
10	424	0.3937496155
10	982	0.4326129117
10	1144	0.3068974528
10	1643	0.0650256089
10	1692	0.4091966037
10	1791	0.3659965688
10	1980	0.2641352719
10	2223	0.4402254532
10	2239	0.3383639476
10	2497	0.4229549344
10	3182	0.4876920666
10	3323	0.5309318732
10	3543	0.0880450906
10	3698	0.3431217832
10	3947	0.6070865631
10	4015	0.3750968867
10	4269	0.3521803625
10	4477	0.2537729607
10	4493	0.3521803625
10	4715	0.2201127266
10	5049	0.3543746539
10	5511	0.3750968867
10	5550	0.3521803625
10	5760	0.4075695730
10	5791	0.2852987011
10	6386	0.2893456933
10	6394	0.2893456933
10	6638	0.0919600980
10	6726	0.0681994339
10	7059	0.4956203536
10	7174	0.4226664577
10	8185	0.2727977358
10	8191	0.2758802939
10	8318	0.3746537715
10	8341	0.6344324017
10	8816	0.6724897954
10	8912	0.3806594410
10	8938	0.3218603429
10	9223	0.3848412857
10	9368	0.3964962829
10	9628	0.3383639476
10	9862	0.1268864803
11	814	0.4036036764
11	3577	0.3429971703
11	4178	0.4537426065
11	4285	0.5134360308
11	4414	0.4850712501
11	5344	0.4708709558
11	6154	0.4573295604
11	6184	0.4850712501
11	6994	0.4708709558
11	7432	0.4850712501
11	7986	0.5009794329
11	8348	0.4537426065
11	8723	0.1400280084
11	8821	0.4200840252
11	9244	0.4537426065
12	303	0.2264554068
12	709	0.2956561980
12	1595	0.3181423815
12	2081	0.2891574660
12	3705	0.1156629864
12	4258	0.2175713173
12	4737	0.3365809164
12	6523	0.2964997267
12	6538	0.2223747950
12	6985	0.2956561980
12	7489	0.1672484020
12	8763	0.1432229748
13	729	0.5853694070
13	1639	0.4264014327
13	2465	0.3223291856
13	4359	0.2075143392
13	4385	0.1556997888
13	4753	0.4045199175
13	5094	0.3813850357
13	5135	0.1049727762
13	5305	0.1556997888
13	5633	0.1462544848
14	618	0.5659164584
14	856	0.7001400420
14	1178	0.5445811486
14	1552	0.6002450480
14	1841	0.5707817930
14	2122	0.5144957554
14	2216	0.3619613830
14	2912	0.6239177481
14	3273	0.4136701520
14	3701	0.3102526140
14	3742	0.7312724241
14	3990	0.5170876900
14	4043	0.4338609156
14	4120	0.0523065781
14	5006	0.0500312793
14	5198	0.5500190982
14	5678	0.7201579347
14	6038	0.4721336852
14	6231	0.4287464629
14	6553	0.4428074428
14	6964	0.0857492926
14	7375	0.4950737715
14	7599	0.4001633653
14	8275	0.4280863447
14	8545	0.6794386129
14	9196	0.4455663943
14	9305	0.4870881870
14	9406	0.4136701520
14	9671	0.6436786859
14	9715	0.0511309993
14	9774	0.5500190982
14	9867	0.5500190982
14	9902	0.4870881870
15	297	0.4870881870
15	558	0.0837707817
15	631	0.1054092553
15	747	0.4188539083
15	987	0.4485426136
15	1234	0.3464101615
15	1294	0.4870881870
15	2352	0.4107919181
15	3007	0.0975900073
15	3146	0.5367450401
15	3256	0.4844813951
15	3541	0.4107919181
15	3803	0.3689323937
15	4420	0.5477225575
15	4686	0.4557327152
15	5873	0.4670993665
15	6196	0.5020790110
15	6204	0.6924107337
15	6696	0.5163977795
15	6929	0.4107919181
15	7260	0.4391550328
15	7369	0.4743416490
15	8744	0.4242640687
15	8877	0.4714045208
15	9204	0.3012320380
15	9220	0.4733646312
15	9322	0.4557327152
15	9439	0.4898979486
15	9442	0.5756496756
16	417	0.4183300133
16	1718	0.4103913408
16	2377	0.5976143047
16	2638	0.4242640687
16	2674	0.4719399037
16	2869	0.5196152423
16	2872	0.4880935301
16	3525	0.5855400438
