node	label
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	2
12	11
13	12
14	13
15	14
16	6
17	3
18	15
19	16
20	4
21	11
22	17
23	18
24	19
25	13
26	20
27	21
28	22
29	12
30	9
31	23
32	24
33	24
34	25
35	26
36	27
37	28
38	29
39	30
40	1
41	31
42	32
43	33
44	34
45	35
46	24
47	36
48	37
49	38
50	39
51	40
52	10
53	41
54	22
55	24
56	39
57	42
58	4
59	35
60	43
61	15
62	44
63	25
64	45
65	35
66	46
67	4
68	47
69	38
70	4
71	48
72	20
73	49
74	4
75	50
76	15
77	18
78	46
79	17
80	44
81	36
82	11
83	51
84	47
85	15
86	49
87	52
88	53
89	54
90	55
91	52
92	29
93	32
94	56
95	57
96	58
97	27
98	59
99	60
100	61
101	44
102	45
103	56
104	62
105	11
106	34
107	47
108	63
109	27
110	42
111	11
112	64
113	54
114	5
115	65
116	66
117	67
118	49
119	27
120	31
121	42
122	15
123	44
124	68
125	68
126	25
127	54
128	15
129	18
130	40
131	69
132	70
133	6
134	71
135	68
136	65
137	21
138	72
139	73
140	39
141	65
142	15
143	30
144	2
145	42
146	74
147	65
148	9
149	35
150	68
151	7
152	60
153	75
154	76
155	21
156	77
157	17
158	78
159	59
160	19
161	76
162	79
163	43
164	64
165	80
166	30
167	60
168	9
169	81
170	58
171	13
172	82
173	51
174	58
175	64
176	20
177	68
178	83
179	49
180	70
181	76
182	84
183	23
184	18
185	85
186	46
187	86
188	25
189	28
190	87
191	32
192	60
193	37
194	37
195	88
196	60
197	18
198	0
199	77
200	7
201	50
202	66
203	88
204	45
205	74
206	43
207	54
208	45
209	89
210	60
211	90
212	74
213	74
214	11
215	57
216	91
217	90
218	68
219	92
220	46
221	59
222	12
223	7
224	84
225	37
226	88
227	79
228	59
229	93
230	60
231	0
232	52
233	76
234	78
235	44
236	24
237	94
238	28
239	25
240	59
241	60
242	95
243	40
244	60
245	23
246	13
247	29
248	83
249	48
250	48
251	96
252	64
253	57
254	50
255	63
256	65
257	80
258	14
259	10
260	97
261	98
262	96
263	2
264	2
265	98
266	64
267	22
268	12
269	24
270	83
271	47
272	45
273	57
274	48
275	88
276	63
277	39
278	99
279	32
280	90
281	62
282	64
283	37
284	24
285	17
286	11
287	0
288	53
289	56
290	66
291	94
292	67
293	80
294	3
295	45
296	37
297	66
298	60
299	62
300	21
301	48
302	15
303	70
304	100
305	60
306	40
307	39
308	68
309	5
310	41
311	64
312	49
313	41
314	35
315	35
316	86
317	101
318	102
319	4
320	85
321	74
322	0
323	31
324	101
325	67
326	103
327	96
328	35
329	79
330	23
331	65
332	34
333	74
334	35
335	51
336	69
337	78
338	104
339	66
340	1
341	49
342	10
343	79
344	90
345	41
346	19
347	41
348	45
349	50
350	19
351	42
352	4
353	40
354	101
355	39
356	60
357	23
358	52
359	14
360	105
361	44
362	23
363	27
364	39
365	93
366	93
367	104
368	27
369	16
370	101
371	21
372	104
373	36
374	40
375	55
376	95
377	96
378	69
379	93
380	104
381	96
382	15
383	78
384	91
385	65
386	68
387	27
388	4
389	104
390	45
391	65
392	7
393	96
394	87
395	53
396	10
397	83
398	46
399	44
400	60
401	50
402	72
403	51
404	48
405	106
406	79
407	104
408	37
409	0
410	76
411	39
412	65
413	12
414	65
415	23
416	46
417	41
418	65
419	98
420	35
421	25
422	96
423	24
424	20
425	17
426	75
427	71
428	56
429	8
430	86
431	81
432	1
433	91
434	98
435	91
436	68
437	95
438	45
439	95
440	10
441	76
442	13
443	26
444	28
445	95
446	95
447	33
448	107
449	44
450	4
451	88
452	23
453	46
454	75
455	101
456	48
457	10
458	48
459	65
460	46
461	50
462	28
463	34
464	78
465	68
466	24
467	31
468	27
469	27
470	89
471	96
472	28
473	72
474	98
475	74
476	68
477	27
478	40
479	4
480	48
481	62
482	14
483	23
484	83
485	60
486	2
487	7
488	13
489	11
490	51
491	34
492	39
493	4
494	65
495	101
496	105
497	21
498	89
499	82
500	32
501	10
502	98
503	45
504	108
505	92
506	63
507	34
508	15
509	10
510	64
511	0
512	87
513	7
514	90
515	47
516	93
517	14
518	65
519	56
520	65
521	24
522	108
523	26
524	67
525	6
526	90
527	8
528	72
529	15
530	53
531	11
532	97
533	45
534	12
535	32
536	106
537	94
538	66
539	21
540	34
541	81
542	74
543	32
544	26
545	90
546	39
547	85
548	2
549	65
550	22
551	48
552	65
553	38
554	97
555	83
556	26
557	75
558	29
559	66
560	69
561	87
562	65
563	44
564	43
565	86
566	22
567	67
568	53
569	68
570	61
571	105
572	14
573	47
574	73
575	88
576	0
577	22
578	61
579	95
580	15
581	104
582	61
583	36
584	79
585	87
586	53
587	0
588	71
589	5
590	70
591	61
592	64
593	80
594	42
595	10
596	16
597	62
598	50
599	29
600	39
601	52
602	64
603	60
604	60
605	62
606	64
607	60
608	27
609	42
610	25
611	61
612	13
613	44
614	96
615	55
616	76
617	52
618	36
619	101
620	63
621	92
622	60
623	1
624	78
625	27
626	77
627	72
628	106
629	93
630	49
631	5
632	3
633	7
634	49
635	66
636	7
637	31
638	57
639	22
640	27
641	76
642	31
643	19
644	49
645	64
646	80
647	54
648	102
649	75
650	3
651	68
652	17
653	87
654	44
655	31
656	60
657	56
658	30
659	4
660	91
661	17
662	87
663	87
664	36
665	104
666	68
667	74
668	92
669	104
670	37
671	81
672	101
673	89
674	24
675	89
676	70
677	7
678	91
679	35
680	11
681	108
682	7
683	98
684	45
685	25
686	98
687	40
688	60
689	1
690	74
691	67
692	101
693	65
694	76
695	48
696	98
697	33
698	103
699	96
700	11
701	28
702	102
703	61
704	103
705	77
706	20
707	87
708	68
709	25
710	94
711	23
712	76
713	103
714	105
715	96
716	23
717	43
718	6
719	13
720	93
721	50
722	51
723	90
724	68
725	60
726	51
727	78
728	96
729	47
730	9
731	51
732	41
733	36
734	83
735	11
736	74
737	102
738	84
739	105
740	71
741	94
742	105
743	103
744	21
745	65
746	44
747	99
748	98
749	53
750	21
751	24
752	105
753	52
754	105
755	4
756	7
757	27
758	29
759	98
760	104
761	34
762	32
763	106
764	28
765	87
766	105
767	60
768	15
769	31
770	98
771	23
772	10
773	106
774	0
775	68
776	101
777	32
778	67
779	66
780	4
781	60
782	67
783	39
784	64
785	74
786	82
787	100
788	26
789	39
790	28
791	90
792	74
793	47
794	10
795	51
796	97
797	104
798	22
799	70
800	102
801	96
802	8
803	74
804	21
805	2
806	97
807	85
808	67
809	43
810	83
811	62
812	45
813	74
814	43
815	30
816	2
817	24
818	33
819	65
820	29
821	34
822	101
823	29
824	55
825	2
826	102
827	65
828	40
829	64
830	60
831	33
832	51
833	67
834	39
835	65
836	89
837	11
838	16
839	97
840	10
841	68
842	36
843	88
844	17
845	65
846	63
847	4
848	95
849	100
850	97
851	51
852	41
853	17
854	50
855	57
856	23
857	55
858	41
859	11
860	13
861	95
862	19
863	72
864	100
865	72
866	92
867	65
868	77
869	64
870	74
871	62
872	68
873	33
874	19
875	38
876	54
877	74
878	50
879	23
880	95
881	67
882	45
883	89
884	31
885	21
886	19
887	65
888	60
889	90
890	108
891	84
892	45
893	77
894	90
895	57
896	28
897	71
898	59
899	0
900	41
901	31
902	0
903	28
904	68
905	93
906	90
907	12
908	37
909	90
910	10
911	90
912	51
913	67
914	33
915	23
916	87
917	67
918	14
919	33
920	54
921	49
922	72
923	11
924	53
925	9
926	51
927	25
928	64
929	39
930	46
931	74
932	19
933	93
934	82
935	8
936	43
937	15
938	92
939	27
940	56
941	50
942	101
943	19
944	84
945	19
946	46
947	90
948	8
949	39
950	101
951	67
952	45
953	87
954	90
955	39
956	83
957	92
958	23
959	45
960	40
961	47
962	19
963	41
964	34
965	1
966	14
967	7
968	60
969	8
970	101
971	31
972	40
973	27
974	98
975	31
976	55
977	103
978	7
979	44
980	21
981	103
982	93
983	104
984	44
985	77
986	49
987	4
988	105
989	45
990	50
991	98
992	37
993	78
994	24
995	103
996	87
997	60
998	70
999	7
1000	85
1001	85
1002	53
1003	101
1004	25
1005	25
1006	13
1007	11
1008	27
1009	45
1010	74
1011	48
1012	101
1013	4
1014	96
1015	92
1016	10
1017	4
1018	21
1019	35
1020	15
1021	39
1022	103
1023	13
1024	28
1025	13
1026	35
1027	26
1028	101
1029	25
1030	67
1031	93
1032	77
1033	34
1034	76
1035	101
1036	29
1037	80
1038	48
1039	26
1040	57
1041	68
1042	32
1043	85
1044	80
1045	45
1046	73
1047	85
1048	1
1049	50
1050	0
1051	53
1052	99
1053	71
1054	65
1055	21
1056	1
1057	17
1058	82
1059	79
1060	108
