u	v	similarity
0	322	0.258199
0	409	0.438357
0	587	0.451848
0	1208	0.000000
0	2228	0.000000
0	3319	0.258199
0	3695	0.275241
0	3700	0.200000
0	3845	0.263523
0	4156	0.182574
0	4328	0.155700
0	4684	0.200000
0	4881	0.000000
0	4909	0.000000
0	4968	0.172133
1	40	0.066667
1	46	0.000000
1	1723	0.298142
1	1974	0.155700
1	2344	0.133333
1	2815	0.000000
1	2823	0.000000
1	2855	0.133333
1	3023	0.074536
1	3384	0.163299
1	3944	0.161515
1	4412	0.138013
1	4514	0.000000
1	4711	0.254686
1	4853	0.059235
2	263	0.000000
2	264	0.286770
2	486	0.122628
2	551	0.000000
2	976	0.000000
2	1274	0.000000
2	1570	0.183942
2	1577	0.000000
2	1619	0.329634
2	1755	0.217643
2	1858	0.247226
2	1862	0.069171
2	2007	0.234146
2	2028	0.293470
2	2351	0.153897
2	2382	0.270369
2	2591	0.346844
2	4125	0.000000
2	4787	0.172062
3	294	0.514344
3	650	0.522976
3	1292	0.685994
3	1341	0.392837
3	1572	0.000000
3	1712	0.000000
3	2089	0.600925
3	2428	0.447214
3	2560	0.497468
3	2581	0.547723
3	2686	0.486664
3	3055	0.707107
3	3079	0.497468
3	4144	0.579751
3	4226	0.444444
3	4261	0.497468
3	4513	0.486864
3	4592	0.521749
4	20	0.273009
4	58	0.311188
4	319	0.273009
4	352	0.252861
4	479	0.321745
4	987	0.279751
4	1191	0.354005
4	1209	0.000000
4	1530	0.312772
4	1827	0.386658
4	1839	0.393179
4	2288	0.423702
4	2299	0.167183
4	2539	0.329690
4	2764	0.161515
4	2995	0.266733
4	3081	0.457466
4	3240	0.000000
4	3325	0.186501
4	3834	0.290382
4	3996	0.327144
4	4108	0.269191
4	4970	0.111456
5	309	0.324102
5	1202	0.214286
5	1854	0.324102
5	2086	0.303046
5	2113	0.048002
5	3195	0.241747
5	3837	0.231455
5	4097	0.418330
5	4108	0.069007
5	4132	0.324102
5	4380	0.233285
5	4553	0.253546
5	4726	0.397033
5	4891	0.000000
6	16	0.557278
6	133	0.557278
6	203	0.000000
6	1295	0.518875
6	1549	0.490511
6	1925	0.629941
6	1929	0.089087
6	2564	0.400892
6	2837	0.500000
6	3157	0.385758
6	3997	0.385758
6	4130	0.466569
6	4501	0.000000
6	4813	0.566947
7	200	0.223607
7	1683	0.062994
7	2162	0.174078
7	2234	0.120386
7	2469	0.080064
7	2513	0.154303
7	2644	0.000000
7	3228	0.087039
7	3503	0.258199
7	4608	0.080064
7	4739	0.077152
7	4767	0.222222
8	935	0.285831
8	1001	0.000000
8	1179	0.303433
8	1312	0.176471
8	1749	0.423405
8	1968	0.472134
8	2035	0.210042
8	2109	0.388057
8	2269	0.242536
8	2606	0.000000
8	2629	0.336336
8	2692	0.000000
8	3753	0.269069
8	4049	0.350070
8	4519	0.292509
8	4631	0.324102
8	4776	0.336336
9	30	0.387298
9	148	0.503115
9	168	0.418330
9	324	0.000000
9	467	0.000000
9	925	0.700000
9	1106	0.000000
9	1602	0.494975
9	1935	0.615587
9	1947	0.434122
9	2051	0.488094
9	2288	0.000000
9	2408	0.494975
9	3173	0.424264
9	3242	0.496139
9	3305	0.536745
9	3338	0.461880
9	3826	0.000000
9	4012	0.451848
9	4358	0.542326
10	342	0.215166
10	396	0.400000
10	457	0.202113
10	501	0.224525
10	509	0.240563
10	840	0.240563
10	1164	0.400320
10	1497	0.111111
10	1553	0.382360
10	2050	0.000000
10	2054	0.000000
10	2075	0.000000
10	2451	0.231125
10	2470	0.267261
10	2471	0.158114
10	2486	0.314970
10	2916	0.363803
10	3034	0.428571
10	3039	0.374228
10	3311	0.305888
10	3399	0.000000
10	3437	0.291667
10	3563	0.184900
10	3815	0.428746
10	3905	0.222222
10	3931	0.369800
10	3963	0.282958
10	3990	0.144338
10	4055	0.319801
10	4083	0.277778
10	4186	0.384900
10	4191	0.305888
10	4315	0.442269
10	4381	0.347524
10	4656	0.201008
10	4886	0.196419
11	264	0.250000
11	486	0.133631
11	1074	0.138675
11	1613	0.125000
11	1619	0.314309
11	1858	0.224507
11	2007	0.357217
11	2287	0.200446
11	2582	0.216506
11	2910	0.000000
11	3091	0.213201
11	3797	0.226134
11	3827	0.316228
11	4146	0.125000
11	4321	0.000000
11	4506	0.000000
12	489	0.145479
12	531	0.142857
12	680	0.181568
12	1464	0.225374
12	1668	0.163663
12	1675	0.399893
12	1680	0.377964
12	1715	0.291606
12	2084	0.000000
12	2222	0.125988
12	2392	0.138013
12	2734	0.205738
12	2742	0.227921
12	2822	0.163663
12	2999	0.131590
12	3183	0.169031
12	3968	0.263181
12	4351	0.299501
12	4567	0.251976
12	4603	0.308607
12	4756	0.154303
13	29	0.208514
13	268	0.364900
13	1268	0.294884
13	1544	0.354005
13	2078	0.289157
13	2129	0.464642
13	2248	0.240772
13	2251	0.278639
13	2359	0.263752
13	2502	0.000000
13	2593	0.494535
13	2887	0.222911
13	3089	0.476972
13	3269	0.469157
13	3627	0.231326
13	3768	0.240772
13	3874	0.167183
13	3898	0.287019
13	4269	0.323029
13	4669	0.303433
13	4689	0.147442
13	4811	0.000000
13	4868	0.208514
14	25	0.377964
14	246	0.333333
14	860	0.500000
14	1356	0.385758
14	1632	0.447214
14	1781	0.351763
14	2323	0.000000
14	2523	0.250000
14	2728	0.272166
14	4119	0.223607
14	4665	0.402015
14	4713	0.333333
15	654	0.000000
15	966	0.074536
15	1336	0.272166
15	1913	0.223607
15	2120	0.129099
15	2477	0.178174
15	2930	0.227429
15	2958	0.174078
15	3108	0.193649
15	3483	0.077152
15	3519	0.000000
15	3884	0.284747
16	133	0.782609
16	525	0.613006
16	718	0.502956
16	1199	0.000000
16	1201	0.445823
16	1295	0.578315
16	1427	0.502956
16	1549	0.717547
16	1925	0.688062
16	2564	0.677672
16	2837	0.501550
16	3100	0.417029
16	3101	0.541736
16	3157	0.481543
16	3285	0.000000
16	3339	0.502956
16	3724	0.462652
16	3997	0.541736
16	4130	0.819028
16	4233	0.481543
16	4753	0.502956
16	4813	0.688062
17	294	0.490990
17	1292	0.485071
17	1341	0.250000
17	1346	0.000000
17	1908	0.360844
17	2070	0.416025
17	2089	0.588348
17	2560	0.452267
17	2607	0.395285
17	2686	0.516185
17	3055	0.550000
17	3707	0.000000
17	4144	0.614919
17	4226	0.471405
17	4261	0.527645
17	4513	0.516398
18	76	0.400099
18	128	0.369274
18	508	0.328244
18	529	0.361961
18	937	0.398862
18	1171	0.236525
18	1245	0.385337
18	1260	0.342381
18	1398	0.440204
18	1672	0.000000
18	1765	0.251259
18	1933	0.177394
18	2609	0.284901
18	3027	0.307729
18	3033	0.489010
18	3198	0.236525
18	3447	0.330289
18	3469	0.354787
18	3592	0.213201
18	4268	0.595850
18	4843	0.455842
18	4892	0.354787
19	369	0.516398
19	838	0.516398
19	1650	0.416025
19	2156	0.433013
19	2547	0.360844
19	2633	0.500000
19	3244	0.000000
19	3461	0.334077
19	3511	0.451848
19	3656	0.376889
19	3663	0.346688
19	3721	0.000000
19	3746	0.416025
19	4099	0.346688
19	4417	0.452267
19	4911	0.000000
20	70	0.350438
20	352	0.317554
20	659	0.327327
20	780	0.218218
20	847	0.112687
20	1488	0.324176
20	2288	0.443419
20	2413	0.336718
20	2539	0.276026
20	2876	0.291606
20	2964	0.325669
20	3081	0.403162
20	3166	0.000000
20	3169	0.000000
20	3196	0.380952
20	3538	0.377964
20	3672	0.279145
20	3834	0.303895
20	3989	0.302614
20	3996	0.299572
